field_id,date,NDVI,EVI,TCG,previous_ndvi,previous_evi,ndvi_change,evi_change,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,stress_class
00000000000000000005,2019-04-01,0.1485334821604417,0.1001551467565968,-0.0204902333234632,0.1433441957676994,0.0910421605701469,0.005189286392742298,0.0091129861864499,0.1077873218237314,0.1233477144622342,0.1413116321529266,0.1588452609935607,0.1750767355106974,0.1842139760491909,0.1905676854538619,0.1976998328511834,0.1993974005214838,0.2582150459942213,0.2369915071209864,Moderate Stress
00000000000000000006,2019-02-10,0.6706345400769059,0.5273535403269171,0.1979196869138096,0.6990173093030548,0.571661829522482,-0.028382769226148907,-0.044308289195564954,0.0469662230076834,0.0697573489451713,0.0696767522549854,0.1583105102078594,0.3249354930960557,0.3519871804171807,0.3744302135689736,0.362883502465626,0.3611958110091787,0.157939627764977,0.0876210379958075,High Stress
00000000000000000006,2019-02-20,0.612020449238438,0.4619775177610006,0.1764639611736496,0.6706345400769059,0.5273535403269171,-0.058614090838467914,-0.06537602256591646,0.0517714761023684,0.0749429439149621,0.0846239749447232,0.1641044586607961,0.3077874566958097,0.3370928236517071,0.3594367791040655,0.3540349346024457,0.3532457116742178,0.1810563728998624,0.1116117624828682,Stable
00000000000000000006,2019-04-01,0.38089660285558,0.4378380357444883,0.0390817372818711,0.7801545757931666,0.6640894023797451,-0.3992579729375866,-0.2262513666352568,0.1461009505167367,0.1349355373121942,0.1151438202144407,0.1372686890292569,0.2101330279993566,0.2313960767332669,0.2542429872206808,0.2321812469417725,0.2597947813487943,0.1528772141154503,0.1158311630965342,Stable
00000000000000000007,2019-03-12,0.4676974633986736,0.308934691312658,0.0802192940023726,0.3681292707918664,0.2342836926653863,0.09956819260680716,0.0746509986472717,0.0656034780891104,0.0893813831131822,0.0925140301419224,0.1271932951926101,0.2083878728645503,0.2351676035755366,0.2553179712580004,0.2494071926067674,0.2636084293489285,0.2338167556300735,0.1867181029578442,Stable
00000000000000000008,2019-03-12,0.4916192242346563,0.3663616370827783,0.1022220053129724,0.4177724950960641,0.1520962981276477,0.0738467291385922,0.2142653389551306,0.0733034851447649,0.1036208909310135,0.1020339483653002,0.1505418908281208,0.2427579946068572,0.2713851297468963,0.301769071238289,0.2845266469911708,0.2585969186996947,0.2492132324383218,0.1983837292072305,Moderate Stress
00000000000000000009,2019-03-12,0.1204277891879837,0.0966142125593535,-0.0333265461268266,0.1277210185094329,0.0896109407908651,-0.007293229321449199,0.007003271768488403,0.1397864661259209,0.1641543954397035,0.1902531249579603,0.2014700764520268,0.2098003257808931,0.2181425678536175,0.2417463503033279,0.2325882585082313,0.215350451274445,0.2931817934508532,0.2769239979289697,Moderate Stress
00000000000000000009,2019-03-22,0.125313642301852,0.0995904748538955,-0.0313961859204567,0.1204277891879837,0.0966142125593535,0.004885853113868285,0.0029762622945419953,0.1332749301782355,0.1581789387734754,0.1883934181623628,0.2055309523696936,0.2143449743417734,0.2262642847699221,0.2452582686897216,0.2412492698941261,0.2248564728078292,0.2974042281529826,0.2764693075364313,Moderate Stress
00000000000000000009,2019-04-01,0.1411529030616765,0.1170587143936134,-0.0257079724692973,0.125313642301852,0.0995904748538955,0.015839260759824503,0.017468239539717906,0.1425216071125938,0.170288244437111,0.2006037019175357,0.222142806744701,0.2391481067092723,0.2522860018859806,0.2661336987540803,0.2722837657933599,0.2494183393627306,0.341221402559139,0.311264974608597,Moderate Stress
0000000000000000000a,2019-02-10,0.17539329796087,0.0645763117232573,-0.0040811506907789,0.0634099711042917,0.0499591724590818,0.1119833268565783,0.014617139264175495,0.0444423787561019,0.0606494327540718,0.0778984523703199,0.0859137401124663,0.0908985139107312,0.0986389674344241,0.1095940647936469,0.1118544736987027,0.1119415232271055,0.1713933053783264,0.1563258877892194,High Stress
0000000000000000000a,2019-02-20,0.1569128821224006,0.0723895826583893,-0.0091964938739411,0.17539329796087,0.0645763117232573,-0.018480415838469405,0.007813270935131997,0.0603982245754695,0.0783970613597957,0.0999135688952119,0.1115715202840992,0.1175577846186259,0.1255457672675304,0.1370650832604773,0.1399405490856713,0.1428540684571703,0.2081075794784981,0.1963869776701146,Stable
0000000000000000000a,2019-03-02,0.1910623860649098,0.0940807698108756,0.0009013744262286,0.1569128821224006,0.0723895826583893,0.03414950394250921,0.021691187152486302,0.0606793571746814,0.0790826885425194,0.1080049682152797,0.1230126337039294,0.1315567639694914,0.1415584087566469,0.1585351372105275,0.159176949323737,0.1600520499473358,0.2408605565140807,0.2182583385221285,High Stress
0000000000000000000a,2019-03-12,0.16340807233264,0.0982357393492517,-0.0139828047589065,0.1910623860649098,0.0940807698108756,-0.027654313732269814,0.004154969538376102,0.0901763537716638,0.1042415949203732,0.127195264609753,0.1386904763485891,0.1480362807872762,0.1587902877559777,0.1768717442919199,0.1748412945144701,0.1742344044324708,0.2534003841523219,0.2398235687154372,High Stress
0000000000000000000a,2019-03-22,0.14908157321659,0.0910083229181114,-0.0196263501699934,0.16340807233264,0.0982357393492517,-0.014326499116049995,-0.007227416431140304,0.0902199681724506,0.1051874356918388,0.1292300274844549,0.142424419053925,0.1499047468393051,0.1598961587713361,0.1765940230978742,0.1752169876913603,0.1765887153222615,0.2511544781092653,0.2357320997671493,Moderate Stress
